Reporting Month,County,State,Residential Closings,Source
2013-10,Montgomery,Tennessee,266,Redfin County Market Tracker
2013-10,Robertson,Tennessee,77,Redfin County Market Tracker
2013-10,Rutherford,Tennessee,410,Redfin County Market Tracker
2013-10,Sumner,Tennessee,244,Redfin County Market Tracker
2013-10,Williamson,Tennessee,400,Redfin County Market Tracker
2013-10,Wilson,Tennessee,175,Redfin County Market Tracker
2013-11,Cheatham,Tennessee,43,Redfin County Market Tracker
2013-11,Davidson,Tennessee,825,Redfin County Market Tracker
2013-11,Dickson,Tennessee,49,Redfin County Market Tracker
2013-11,Maury,Tennessee,100,Redfin County Market Tracker
2013-11,Montgomery,Tennessee,252,Redfin County Market Tracker
2013-11,Robertson,Tennessee,89,Redfin County Market Tracker
2013-11,Rutherford,Tennessee,358,Redfin County Market Tracker
2013-11,Sumner,Tennessee,244,Redfin County Market Tracker
2013-11,Williamson,Tennessee,322,Redfin County Market Tracker
2013-11,Wilson,Tennessee,227,Redfin County Market Tracker
2013-12,Cheatham,Tennessee,36,Redfin County Market Tracker
2013-12,Davidson,Tennessee,851,Redfin County Market Tracker
2013-12,Dickson,Tennessee,42,Redfin County Market Tracker
2013-12,Maury,Tennessee,93,Redfin County Market Tracker
2013-12,Montgomery,Tennessee,259,Redfin County Market Tracker
2013-12,Robertson,Tennessee,59,Redfin County Market Tracker
2013-12,Rutherford,Tennessee,393,Redfin County Market Tracker
2013-12,Sumner,Tennessee,237,Redfin County Market Tracker
2013-12,Williamson,Tennessee,412,Redfin County Market Tracker
2013-12,Wilson,Tennessee,206,Redfin County Market Tracker
2014-01,Cheatham,Tennessee,37,Redfin County Market Tracker
2014-01,Davidson,Tennessee,650,Redfin County Market Tracker
2014-01,Dickson,Tennessee,35,Redfin County Market Tracker
2014-01,Maury,Tennessee,59,Redfin County Market Tracker
2014-01,Montgomery,Tennessee,229,Redfin County Market Tracker
2014-01,Robertson,Tennessee,54,Redfin County Market Tracker
2014-01,Rutherford,Tennessee,281,Redfin County Market Tracker
2014-01,Sumner,Tennessee,164,Redfin County Market Tracker
2014-01,Williamson,Tennessee,260,Redfin County Market Tracker
2014-01,Wilson,Tennessee,165,Redfin County Market Tracker
2014-02,Cheatham,Tennessee,27,Redfin County Market Tracker
2014-02,Davidson,Tennessee,674,Redfin County Market Tracker
2014-02,Dickson,Tennessee,40,Redfin County Market Tracker
2014-02,Maury,Tennessee,80,Redfin County Market Tracker
2014-02,Montgomery,Tennessee,214,Redfin County Market Tracker
2014-02,Robertson,Tennessee,64,Redfin County Market Tracker
2014-02,Rutherford,Tennessee,330,Redfin County Market Tracker
2014-02,Sumner,Tennessee,188,Redfin County Market Tracker
2014-02,Williamson,Tennessee,271,Redfin County Market Tracker
2014-02,Wilson,Tennessee,119,Redfin County Market Tracker
2014-03,Cheatham,Tennessee,43,Redfin County Market Tracker
2014-03,Davidson,Tennessee,882,Redfin County Market Tracker
2014-03,Dickson,Tennessee,50,Redfin County Market Tracker
2014-03,Maury,Tennessee,114,Redfin County Market Tracker
2014-03,Montgomery,Tennessee,297,Redfin County Market Tracker
2014-03,Robertson,Tennessee,64,Redfin County Market Tracker
2014-03,Rutherford,Tennessee,444,Redfin County Market Tracker
2014-03,Sumner,Tennessee,229,Redfin County Market Tracker
2014-03,Williamson,Tennessee,397,Redfin County Market Tracker
2014-03,Wilson,Tennessee,183,Redfin County Market Tracker
2014-04,Cheatham,Tennessee,34,Redfin County Market Tracker
2014-04,Davidson,Tennessee,954,Redfin County Market Tracker
2014-04,Dickson,Tennessee,47,Redfin County Market Tracker
2014-04,Maury,Tennessee,143,Redfin County Market Tracker
